id,中文,zh-CN
2005428harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/weblinks.php中存在多个SQL注入漏洞。远程攻击者可以借助参数where执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/weblinks.php中存在多个SQL注入漏洞。远程攻击者可以借助参数where执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005428suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005429name," Joomla! SQL注入尝试（52）","Joomla! SQL注入尝试（52）"
2005429desc,"检测请求行中是否包含/plugins/search/weblinks.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/weblinks.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005429harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/weblinks.php中存在多个SQL注入漏洞。远程攻击者可以借助参数where执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/weblinks.php中存在多个SQL注入漏洞。远程攻击者可以借助参数where执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005429suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005430name," Joomla! SQL注入尝试（53）","Joomla! SQL注入尝试（53）"
2005430desc,"检测请求行中是否包含/plugins/search/weblinks.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/weblinks.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005430harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/weblinks.php中存在多个SQL注入漏洞。远程攻击者可以借助参数where执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/weblinks.php中存在多个SQL注入漏洞。远程攻击者可以借助参数where执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005430suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005431name," Joomla! SQL注入尝试（54）","Joomla! SQL注入尝试（54）"
2005431desc,"检测请求行中是否包含/plugins/search/weblinks.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/weblinks.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005431harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/weblinks.php中存在多个SQL注入漏洞。远程攻击者可以借助参数where执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/weblinks.php中存在多个SQL注入漏洞。远程攻击者可以借助参数where执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005431suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005432name," Joomla! SQL注入尝试（55）","Joomla! SQL注入尝试（55）"
2005432desc,"检测请求行中是否包含/plugins/search/contacts.php并且请求parameter 参数中是否带有 SQL语句（select from）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/contacts.php并且请求parameter 参数中是否带有 SQL语句（select from）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005432harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005432suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005433name," Joomla! SQL注入尝试（56）","Joomla! SQL注入尝试（56）"
2005433desc,"检测请求行中是否包含/plugins/search/contacts.php 并且请求parameter 参数中是否带有 SQL语句（UNION SELECT）。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/contacts.php 并且请求parameter 参数中是否带有 SQL语句（UNION SELECT）。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005433harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005433suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005434name," Joomla! SQL注入尝试（57）","Joomla! SQL注入尝试（57）"
2005434desc,"检测请求行中是否包含/plugins/search/contacts.php 并且请求parameter 参数中是否带有 SQL语句（insert into）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/contacts.php 并且请求parameter 参数中是否带有 SQL语句（insert into）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005434harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005434suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005435name," Joomla! SQL注入尝试（58）","Joomla! SQL注入尝试（58）"
2005435desc,"检测请求行中是否包含/plugins/search/contacts.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/contacts.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005435harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005435suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005436name," Joomla! SQL注入尝试（59）","Joomla! SQL注入尝试（59）"
2005436desc,"检测请求行中是否包含/plugins/search/contacts.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/contacts.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005436harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005436suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005437name," Joomla! SQL注入尝试（60）","Joomla! SQL注入尝试（60）"
2005437desc,"检测请求行中是否包含/plugins/search/contacts.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/contacts.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005437harm_desc,"     Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta 的plugins/search/contacts.php中存在多个SQL注入漏洞。远程攻击者可以借助参数text执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005437suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005438name," Joomla! SQL注入尝试（61）","Joomla! SQL注入尝试（61）"
2005438desc,"检测请求行中是否包含/plugins/search/categories.php并且请求parameter 参数中是否带有 SQL语句（select from）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/categories.php并且请求parameter 参数中是否带有 SQL语句（select from）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005438harm_desc," Joomla! 1.5.0 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005438suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005439name," Joomla! SQL注入尝试（62）","Joomla! SQL注入尝试（62）"
2005439desc,"检测请求行中是否包含/plugins/search/categories.php 并且请求parameter 参数中是否带有 SQL语句（UNION SELECT）。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/categories.php 并且请求parameter 参数中是否带有 SQL语句（UNION SELECT）。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005439harm_desc," Joomla! 1.5.1 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.1 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005439suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005440name," Joomla! SQL注入尝试（63）","Joomla! SQL注入尝试（63）"
2005440desc,"检测请求行中是否包含/plugins/search/categories.php 并且请求parameter 参数中是否带有 SQL语句（insert into）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/categories.php 并且请求parameter 参数中是否带有 SQL语句（insert into）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005440harm_desc," Joomla! 1.5.2 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.2 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005440suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005441name," Joomla! SQL注入尝试（64）","Joomla! SQL注入尝试（64）"
2005441desc,"检测请求行中是否包含/plugins/search/categories.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/categories.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005441harm_desc," Joomla! 1.5.3 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.3 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005441suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005442name," Joomla! SQL注入尝试（65）","Joomla! SQL注入尝试（65）"
2005442desc,"检测请求行中是否包含/plugins/search/categories.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/categories.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005442harm_desc," Joomla! 1.5.4 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.4 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005442suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005443name," Joomla! SQL注入尝试（66）","Joomla! SQL注入尝试（66）"
2005443desc,"检测请求行中是否包含/plugins/search/categories.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/categories.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005443harm_desc," Joomla! 1.5.5 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.5 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/categories.php执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005443suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005444name," Joomla! SQL注入尝试（67）","Joomla! SQL注入尝试（67）"
2005444desc,"检测请求行中是否包含/plugins/search/sections.php并且请求parameter 参数中是否带有 SQL语句（select from）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/sections.php并且请求parameter 参数中是否带有 SQL语句（select from）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005444harm_desc," Joomla! 1.5.0 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005444suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005445name," Joomla! SQL注入尝试（68）","Joomla! SQL注入尝试（68）"
2005445desc,"检测请求行中是否包含/plugins/search/sections.php 并且请求parameter 参数中是否带有 SQL语句（UNION SELECT）。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/sections.php 并且请求parameter 参数中是否带有 SQL语句（UNION SELECT）。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005445harm_desc," Joomla! 1.5.1 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.1 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005445suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005446name," Joomla! SQL注入尝试（69）","Joomla! SQL注入尝试（69）"
2005446desc,"检测请求行中是否包含/plugins/search/sections.php并且请求parameter 参数中是否带有 SQL语句（insert into）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/sections.php并且请求parameter 参数中是否带有 SQL语句（insert into）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005446harm_desc," Joomla! 1.5.2 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.2 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005446suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005447name," Joomla! SQL注入尝试（70）","Joomla! SQL注入尝试（70）"
2005447desc,"检测请求行中是否包含/plugins/search/sections.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/sections.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005447harm_desc," Joomla! 1.5.3 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.3 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005447suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005448name," Joomla! SQL注入尝试（71）","Joomla! SQL注入尝试（71）"
2005448desc,"检测请求行中是否包含/plugins/search/sections.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/sections.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005448harm_desc," Joomla! 1.5.4 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.4 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005448suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005449name," Joomla! SQL注入尝试（72）","Joomla! SQL注入尝试（72）"
2005449desc,"检测请求行中是否包含/plugins/search/sections.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/plugins/search/sections.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005449harm_desc," Joomla! 1.5.5 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.5 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件plugins/search/sections.php中的正文参数执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005449suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005450name," Joomla! SQL注入尝试（73）","Joomla! SQL注入尝试（73）"
2005450desc,"检测请求行中是否包含/database/table/user.php并且请求parameter 参数中是否带有 SQL语句（select from）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/database/table/user.php并且请求parameter 参数中是否带有 SQL语句（select from）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005450harm_desc," Joomla! 1.5.0 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.0 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005450suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005451name," Joomla! SQL注入尝试（74）","Joomla! SQL注入尝试（74）"
2005451desc,"检测请求行中是否包含/database/table/user.php 并且请求parameter 参数中是否带有 SQL语句（UNION SELECT）。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/database/table/user.php 并且请求parameter 参数中是否带有 SQL语句（UNION SELECT）。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005451harm_desc," Joomla! 1.5.1 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.1 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005451suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005452name," Joomla! SQL注入尝试（75）","Joomla! SQL注入尝试（75）"
2005452desc,"检测请求行中是否包含/database/table/user.php并且请求parameter 参数中是否带有 SQL语句（insert into）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/database/table/user.php并且请求parameter 参数中是否带有 SQL语句（insert into）如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005452harm_desc," Joomla! 1.5.2 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.2 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005452suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005453name," Joomla! SQL注入尝试（76）","Joomla! SQL注入尝试（76）"
2005453desc,"检测请求行中是否包含/database/table/user.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/database/table/user.php和SQL语句（DELETE FROM） 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005453harm_desc," Joomla! 1.5.3 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.3 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005453suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005454name," Joomla! SQL注入尝试（77）","Joomla! SQL注入尝试（77）"
2005454desc,"检测请求行中是否包含/database/table/user.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/database/table/user.php并且请求parameter 参数中是否带有SQL语句(ASCII SELECT) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005454harm_desc," Joomla! 1.5.4 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.4 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005454suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005455name," Joomla! SQL注入尝试（78）","Joomla! SQL注入尝试（78）"
2005455desc,"检测请求行中是否包含/database/table/user.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数","检测请求行中是否包含/database/table/user.php 并且请求parameter 参数中是否带有SQL语句(UPDATE SET) 。如果是，则判断为  Joomla! SQL注入尝试，将会阻断并设置相关参数"
2005455harm_desc," Joomla! 1.5.5 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。","Joomla! 1.5.5 Beta中存在多个SQL注入漏洞。远程攻击者可以借助特定文件database/table/user.php中的电子邮件参数，执行任意的SQL指令。该漏洞未能被检查功能进行正确处理。"
2005455suggest,"建议使用 version 1.5.7 之后的版本","建议使用 version 1.5.7 之后的版本"
2005461name,"检测  Francisco Burzi PHP-Nuke SQL注入攻击","检测  Francisco Burzi PHP-Nuke SQL注入攻击"
2005461desc,"如果在请求行 查找到/admin/modules/modules.php并带有可SQL注入的参数active则规则匹配，拦截并设置参数","如果在请求行 查找到/admin/modules/modules.php并带有可SQL注入的参数active则规则匹配，拦截并设置参数"
2005461harm_desc,"       Francisco Burzi PHP-Nuke 7.9中存在多个SQL注入漏洞。远程攻击者可以借助admin/modules/modules.php中的active参数，执行任意的SQL指令。","Francisco Burzi PHP-Nuke 7.9中存在多个SQL注入漏洞。远程攻击者可以借助admin/modules/modules.php中的active参数，执行任意的SQL指令。"
2005461suggest,"建议web服务器把uri中包含/admin/modules/modules.php并带有active参数的请求给过滤了。
",建议web服务器把uri中包含/admin/modules/modules.php并带有active参数的请求给过滤了。
2005467name,"检测 Francisco Burzi PHP-Nuke SQL注入攻击","检测 Francisco Burzi PHP-Nuke SQL注入攻击"
2005467desc,"如果在请求行 查找到/modules/Advertising/admin/index.php并带有可SQL注入的参数ad_class则规则匹配，拦截并设置参数","如果在请求行 查找到/modules/Advertising/admin/index.php并带有可SQL注入的参数ad_class则规则匹配，拦截并设置参数"
2005467harm_desc,"       Francisco Burzi PHP-Nuke 7.9中存在多个SQL注入漏洞。远程攻击者可以借助modules/Advertising/admin/index.php中的ad_class参数，执行任意的SQL指令。","Francisco Burzi PHP-Nuke 7.9中存在多个SQL注入漏洞。远程攻击者可以借助modules/Advertising/admin/index.php中的ad_class参数，执行任意的SQL指令。"
2005467suggest,"建议web服务器把uri中包含modules/Advertising/admin/index.php并带有ad_class参数的请求给过滤了。
",建议web服务器把uri中包含modules/Advertising/admin/index.php并带有ad_class参数的请求给过滤了。
2005473name,"检测 Francisco Burzi PHP-Nuke SQL注入攻击","检测 Francisco Burzi PHP-Nuke SQL注入攻击"
2005473desc,"如果在请求行 查找到/modules/Advertising/admin/index.php并带有可SQL注入的参数imageurl则规则匹配，拦截并设置参数","如果在请求行 查找到/modules/Advertising/admin/index.php并带有可SQL注入的参数imageurl则规则匹配，拦截并设置参数"
2005473harm_desc,"       Francisco Burzi PHP-Nuke 7.9中存在多个SQL注入漏洞。远程攻击者可以借助modules/Advertising/admin/index.php中的imageurl参数，执行任意的SQL指令。","Francisco Burzi PHP-Nuke 7.9中存在多个SQL注入漏洞。远程攻击者可以借助modules/Advertising/admin/index.php中的imageurl参数，执行任意的SQL指令。"
2005473suggest,"建议web服务器把uri中包含modules/Advertising/admin/index.php并带有imageurl参数的请求给过滤了。
",建议web服务器把uri中包含modules/Advertising/admin/index.php并带有imageurl参数的请求给过滤了。
2005479name,"检测  Francisco Burzi PHP-Nuke SQL注入攻击","检测  Francisco Burzi PHP-Nuke SQL注入攻击"
2005479desc,"如果在请求行 查找到/modules/Advertising/admin/index.php并带有可SQL注入的参数clickurl则规则匹配，拦截并设置参数","如果在请求行 查找到/modules/Advertising/admin/index.php并带有可SQL注入的参数clickurl则规则匹配，拦截并设置参数"
