id,中文,中文
2009316suggest,建议web服务器把包含/don3_requiem.php，app_path参数带有../的请求给过滤了。,建议web服务器把包含/don3_requiem.php，app_path参数带有../的请求给过滤了。
2009317name,  DesktopOnNet don3_requiem.php app_path 存在参数与远程文件捆绑尝试,  DesktopOnNet don3_requiem.php app_path 存在参数与远程文件捆绑尝试
2009317harm_desc,  DesktopOnNet 3测试第二版存在多个PHP远程文件包含漏洞。远程攻击者可以借助到(1)don3_requiem.don3app/don3_requiem.php和(2)frontpage.don3app/frontpage.php的app_path参数中的一个URL，执行任意的PHP代码。,  DesktopOnNet 3测试第二版存在多个PHP远程文件包含漏洞。远程攻击者可以借助到(1)don3_requiem.don3app/don3_requiem.php和(2)frontpage.don3app/frontpage.php的app_path参数中的一个URL，执行任意的PHP代码。
2009317suggest,建议web服务器把包含 /frontpage.php，app_path参数带有../的请求给过滤了。,建议web服务器把包含 /frontpage.php，app_path参数带有../的请求给过滤了。
2009318name,  DesktopOnNet frontpage.php app_path 存在参数与远程文件捆绑尝试,  DesktopOnNet frontpage.php app_path 存在参数与远程文件捆绑尝试
2009318harm_desc,rgboard中的_footer.php存在目录遍历漏洞，远程攻击者可以借助skin_path参数中的目录遍历序列包含和运行任意的本地文件。,rgboard中的_footer.php存在目录遍历漏洞，远程攻击者可以借助skin_path参数中的目录遍历序列包含和运行任意的本地文件。
2009318suggest,建议web服务器把包含/_footer.php，skin_path参数带有../的请求给过滤了。,建议web服务器把包含/_footer.php，skin_path参数带有../的请求给过滤了。
2009320name, rgboard _footer.php skin_path参数与本地文件捆绑, rgboard _footer.php skin_path参数与本地文件捆绑
2009320harm_desc,,
2009320suggest,"建议在web服务器把访问/footer.php且存在_path[counter]参数的请求给过滤了
","建议在web服务器把访问/footer.php且存在_path[counter]参数的请求给过滤了
"
2009321name, rgboard footer.php _path 存在参数与远程文件捆绑尝试, rgboard footer.php _path 存在参数与远程文件捆绑尝试
2009321harm_desc,Demium CMS版本存在目录遍历漏洞。远程攻击者可以借助到urheber.php的name参数(参数值设置为'..')，包含和运行任意的本地文件,Demium CMS版本存在目录遍历漏洞。远程攻击者可以借助到urheber.php的name参数(参数值设置为'..')，包含和运行任意的本地文件
2009321suggest,更新到0.2.1版本,更新到0.2.1版本
2009324name, Demium 内容管理系统 urheber.php name参数与本地文件捆绑, Demium 内容管理系统 urheber.php name参数与本地文件捆绑
2009324harm_desc,   PHPortal 1.2 Beta的sablonlar/gunaysoft/gunaysoft.php中存在多个PHP远程文件包含漏洞，远程攻击者通过 icerikyolu参数中的一个URL来执行任意PHP代码。,   PHPortal 1.2 Beta的sablonlar/gunaysoft/gunaysoft.php中存在多个PHP远程文件包含漏洞，远程攻击者通过 icerikyolu参数中的一个URL来执行任意PHP代码。
2009324suggest,"建议在web服务器把访问/gunaysoft.php且存在icerikyolu 参数的请求给过滤了
","建议在web服务器把访问/gunaysoft.php且存在icerikyolu 参数的请求给过滤了
"
2009325name,  phPortal gunaysoft.php icerikyolu 存在参数与远程文件捆绑尝试,  phPortal gunaysoft.php icerikyolu 存在参数与远程文件捆绑尝试
2009325harm_desc,,
2009325suggest,"建议在web服务器把访问/gunaysoft.php且存在sayfaid参数的请求给过滤了
","建议在web服务器把访问/gunaysoft.php且存在sayfaid参数的请求给过滤了
"
2009326name,  phPortal gunaysoft.php sayfaid 存在参数与远程文件捆绑尝试,  phPortal gunaysoft.php sayfaid 存在参数与远程文件捆绑尝试
2009326harm_desc,,
2009326suggest,"建议在web服务器把访问/gunaysoft.php且存在uzanti参数的请求给过滤了
","建议在web服务器把访问/gunaysoft.php且存在uzanti参数的请求给过滤了
"
2009327name,  phPortal gunaysoft.php uzanti 存在参数与远程文件捆绑尝试,  phPortal gunaysoft.php uzanti 存在参数与远程文件捆绑尝试
2009327harm_desc,ZABBIX中的locales.php存在目录遍历漏洞，远程攻击者可以借助srclang参数中的目录遍历序列包含和运行任意的本地文件。,ZABBIX中的locales.php存在目录遍历漏洞，远程攻击者可以借助srclang参数中的目录遍历序列包含和运行任意的本地文件。
2009327suggest,建议web服务器把包含/locales.php，srclang参数带有../的请求给过滤了。,建议web服务器把包含/locales.php，srclang参数带有../的请求给过滤了。
2009329name, ZABBIX locales.php srclang参数与本地文件捆绑, ZABBIX locales.php srclang参数与本地文件捆绑
2009329harm_desc,    MyForum中的admin/centre.php存在目录遍历漏洞，当全局注册(register_globals)被启用时，远程攻击者可以借助padmin参数中的目录遍历序列放入和运行任意的本地文件。,    MyForum中的admin/centre.php存在目录遍历漏洞，当全局注册(register_globals)被启用时，远程攻击者可以借助padmin参数中的目录遍历序列放入和运行任意的本地文件。
2009329suggest,建议web服务器把包含/centre.php，padmin参数带有../的请求给过滤了。,建议web服务器把包含/centre.php，padmin参数带有../的请求给过滤了。
2009330name, MyForum centre.php padmin参数与本地文件捆绑, MyForum centre.php padmin参数与本地文件捆绑
2009330harm_desc,TinyCMS中的ZZ_Templater模块里的templater.php存在目录遍历漏洞，当全局注册(register_globals)可用而magic_quotes_gpc被禁用时，远程攻击者可以借助config[template]参数中的".."放入和运行任意的本地文件。,TinyCMS中的ZZ_Templater模块里的templater.php存在目录遍历漏洞，当全局注册(register_globals)可用而magic_quotes_gpc被禁用时，远程攻击者可以借助config[template]参数中的".."放入和运行任意的本地文件。
2009330suggest,建议web服务器把包含/templater.php，config[template] 参数带有../的请求给过滤了。,建议web服务器把包含/templater.php，config[template] 参数带有../的请求给过滤了。
2009331name,  tinyCMS templater.php 与本地文件捆绑,  tinyCMS templater.php 与本地文件捆绑
2009331harm_desc,     Open Digital Assets Repository System (ODARS) 1.0.2的src/browser/resource/categories/resource_categories_view.php中存在PHP远程文件包含漏洞，当register_globals被激活时，远程攻击者通过CLASSES_ROOT参数中的一个URL来执行任意PHP代码。,     Open Digital Assets Repository System (ODARS) 1.0.2的src/browser/resource/categories/resource_categories_view.php中存在PHP远程文件包含漏洞，当register_globals被激活时，远程攻击者通过CLASSES_ROOT参数中的一个URL来执行任意PHP代码。
2009331suggest,建议web服务器把包含/resource_categories_view.php，CLASSES_ROOT参数带有../的请求给过滤了。,建议web服务器把包含/resource_categories_view.php，CLASSES_ROOT参数带有../的请求给过滤了。
2009332name,  ODARS resource_categories_view.php CLASSES_ROOT参数与本地文件捆绑,  ODARS resource_categories_view.php CLASSES_ROOT参数与本地文件捆绑
2009332harm_desc, Open Digital Assets Repository System (ODARS) 1.0.2的src/browser/resource/categories/resource_categories_view.php中存在PHP远程文件包含漏洞，当register_globals被激活时，远程攻击者通过CLASSES_ROOT参数中的一个URL来执行任意PHP代码。, Open Digital Assets Repository System (ODARS) 1.0.2的src/browser/resource/categories/resource_categories_view.php中存在PHP远程文件包含漏洞，当register_globals被激活时，远程攻击者通过CLASSES_ROOT参数中的一个URL来执行任意PHP代码。
2009332suggest,建议web服务器把包含/resource_categories_view.php，CLASSES_ROOT参数带有../的请求给过滤了。,建议web服务器把包含/resource_categories_view.php，CLASSES_ROOT参数带有../的请求给过滤了。
2009333name,  ODARS resource_categories_view.php CLASSES_ROOT 存在参数与远程文件捆绑尝试,  ODARS resource_categories_view.php CLASSES_ROOT 存在参数与远程文件捆绑尝试
2009333harm_desc,Beerwin PHPLinkAdmin 1.0版本的linkadmin.php中存在PHP远程文件包含漏洞。远程攻击者可以借助页参数中的一个URL，执行任意PHP代码。,Beerwin PHPLinkAdmin 1.0版本的linkadmin.php中存在PHP远程文件包含漏洞。远程攻击者可以借助页参数中的一个URL，执行任意PHP代码。
2009333suggest,建议web服务器把包含/linkadmin.php，page参数带有../的请求给过滤了。,建议web服务器把包含/linkadmin.php，page参数带有../的请求给过滤了。
2009364name,  Beerwins PHPLinkAdmin linkadmin.php page 存在参数与远程文件捆绑尝试,  Beerwins PHPLinkAdmin linkadmin.php page 存在参数与远程文件捆绑尝试
2009364harm_desc,Joomla! Simple RSS Reader(com_rssreader)组件中的admin.rssreader.php存在PHP远程文件包含漏洞。远程攻击者可以借助mosConfig_live_site参数中的一个URL，执行任意的PHP代码。,Joomla! Simple RSS Reader(com_rssreader)组件中的admin.rssreader.php存在PHP远程文件包含漏洞。远程攻击者可以借助mosConfig_live_site参数中的一个URL，执行任意的PHP代码。
2009364suggest,建议使用（com_rssreader）version 1.0之后版本,建议使用（com_rssreader）version 1.0之后版本
2009369name, Joomla Simple RSS Reader admin.rssreader.php mosConfig_live_site参数存在远程文件捆绑, Joomla Simple RSS Reader admin.rssreader.php mosConfig_live_site参数存在远程文件捆绑
2009369harm_desc,"    BoonEx Dolphin 是一款社交构建平台软件。 
        BoonEx Dolphin 6.1.2存在多个PHP远程文件包含漏洞。在register_globals被中止时, 远程攻击者通过(1)对 (a) HTMLSax3.php 和 (b) plugins/safehtml/的safehtml.php的 dir[plugins] 参数 以及 (2) 对 (c) ray/modules/global/inc/content.inc.php的sIncPath parameter的一个URL来执行任意PHP代码。","    BoonEx Dolphin 是一款社交构建平台软件。 
        BoonEx Dolphin 6.1.2存在多个PHP远程文件包含漏洞。在register_globals被中止时, 远程攻击者通过(1)对 (a) HTMLSax3.php 和 (b) plugins/safehtml/的safehtml.php的 dir[plugins] 参数 以及 (2) 对 (c) ray/modules/global/inc/content.inc.php的sIncPath parameter的一个URL来执行任意PHP代码。"
2009369suggest,建议web服务器把包含/HTMLSax3.php，dir[plugins]参数带有../的请求给过滤了。,建议web服务器把包含/HTMLSax3.php，dir[plugins]参数带有../的请求给过滤了。
2009370name, Boonex Dolphin HTMLSax3.php存在参数与远程文件捆绑, Boonex Dolphin HTMLSax3.php存在参数与远程文件捆绑
2009370harm_desc,"    BoonEx Dolphin 是一款社交构建平台软件。 
        BoonEx Dolphin 6.1.2存在多个PHP远程文件包含漏洞。在register_globals被中止时, 远程攻击者通过(1)对 (a) HTMLSax3.php 和 (b) plugins/safehtml/的safehtml.php的 dir[plugins] 参数 以及 (2) 对 (c) ray/modules/global/inc/content.inc.php的sIncPath parameter的一个URL来执行任意PHP代码。","    BoonEx Dolphin 是一款社交构建平台软件。 
        BoonEx Dolphin 6.1.2存在多个PHP远程文件包含漏洞。在register_globals被中止时, 远程攻击者通过(1)对 (a) HTMLSax3.php 和 (b) plugins/safehtml/的safehtml.php的 dir[plugins] 参数 以及 (2) 对 (c) ray/modules/global/inc/content.inc.php的sIncPath parameter的一个URL来执行任意PHP代码。"
2009370suggest,建议web服务器把包含/safehtml.php，dir[plugins]参数带有../的请求给过滤了。,建议web服务器把包含/safehtml.php，dir[plugins]参数带有../的请求给过滤了。
2009371name, Boonex Dolphin safehtml.php存在参数与远程文件捆绑, Boonex Dolphin safehtml.php存在参数与远程文件捆绑
2009371harm_desc,"    BoonEx Dolphin 是一款社交构建平台软件。 
        BoonEx Dolphin 6.1.2存在多个PHP远程文件包含漏洞。在register_globals被中止时, 远程攻击者通过(1)对 (a) HTMLSax3.php 和 (b) plugins/safehtml/的safehtml.php的 dir[plugins] 参数 以及 (2) 对 (c) ray/modules/global/inc/content.inc.php的sIncPath parameter的一个URL来执行任意PHP代码。","    BoonEx Dolphin 是一款社交构建平台软件。 
        BoonEx Dolphin 6.1.2存在多个PHP远程文件包含漏洞。在register_globals被中止时, 远程攻击者通过(1)对 (a) HTMLSax3.php 和 (b) plugins/safehtml/的safehtml.php的 dir[plugins] 参数 以及 (2) 对 (c) ray/modules/global/inc/content.inc.php的sIncPath parameter的一个URL来执行任意PHP代码。"
2009371suggest,建议web服务器把包含/inc/content.inc.php，ARGS:sIncPath参数带有../的请求给过滤了。,建议web服务器把包含/inc/content.inc.php，ARGS:sIncPath参数带有../的请求给过滤了。
2009372name, Boonex Dolphin content.inc.php存在参数与远程文件捆绑, Boonex Dolphin content.inc.php存在参数与远程文件捆绑
2009372harm_desc,Acute Control Panel 1.0.0版本存在多个PHP远程文件包含漏洞。远程攻击者可以借助对themes/中的(1)container.php和(2)header.php的theme_directory参数中的一个URL，执行任意的PHP代码。,Acute Control Panel 1.0.0版本存在多个PHP远程文件包含漏洞。远程攻击者可以借助对themes/中的(1)container.php和(2)header.php的theme_directory参数中的一个URL，执行任意的PHP代码。
2009372suggest,建议web服务器把包含/container.php，theme_directory参数带有../的请求给过滤了。,建议web服务器把包含/container.php，theme_directory参数带有../的请求给过滤了。
2009377name, Acute Control Panel container.php theme_directory参数与本地文件捆绑, Acute Control Panel container.php theme_directory参数与本地文件捆绑
2009377harm_desc,  Achievo 1.4.0之前版本的debugger.php中存在PHP远程文件包含漏洞。远程攻击者可以借助config_atkroot参数中的一个URL，执行任意的PHP代码。,  Achievo 1.4.0之前版本的debugger.php中存在PHP远程文件包含漏洞。远程攻击者可以借助config_atkroot参数中的一个URL，执行任意的PHP代码。
2009377suggest,建议web服务器把包含/container.php，theme_directory参数带有../的请求给过滤了。,建议web服务器把包含/container.php，theme_directory参数带有../的请求给过滤了。
2009378name, Acute Control Panel container.php theme_directory 存在参数与远程文件捆绑尝试, Acute Control Panel container.php theme_directory 存在参数与远程文件捆绑尝试
2009378harm_desc,Acute Control Panel 1.0.0版本存在多个PHP远程文件包含漏洞。远程攻击者可以借助对themes/中的(1)container.php和(2)header.php的theme_directory参数中的一个URL，执行任意的PHP代码。,Acute Control Panel 1.0.0版本存在多个PHP远程文件包含漏洞。远程攻击者可以借助对themes/中的(1)container.php和(2)header.php的theme_directory参数中的一个URL，执行任意的PHP代码。
2009378suggest,建议web服务器把包含/header.php，theme_directory参数带有../的请求给过滤了。,建议web服务器把包含/header.php，theme_directory参数带有../的请求给过滤了。
2009379name, Acute Control Panel header.php theme_directory 存在参数与远程文件捆绑尝试, Acute Control Panel header.php theme_directory 存在参数与远程文件捆绑尝试
2009379harm_desc,Acute Control Panel 1.0.0版本存在多个PHP远程文件包含漏洞。远程攻击者可以借助对themes/中的(1)container.php和(2)header.php的theme_directory参数中的一个URL，执行任意的PHP代码。,Acute Control Panel 1.0.0版本存在多个PHP远程文件包含漏洞。远程攻击者可以借助对themes/中的(1)container.php和(2)header.php的theme_directory参数中的一个URL，执行任意的PHP代码。
2009379suggest,建议web服务器把包含/header.php，theme_directory参数带有../的请求给过滤了。,建议web服务器把包含/header.php，theme_directory参数带有../的请求给过滤了。
2009380name, Acute Control Panel header.php theme_directory参数与本地文件捆绑, Acute Control Panel header.php theme_directory参数与本地文件捆绑
2009380harm_desc, Interact Learning Community Environment Interact 2.4.1版本存在多个PHP远程文件包含漏洞。当register_globals被激活时，远程攻击者可以借助到modules/forum/embedforum.php的CONFIG[LANGUAGE_CPATH]参数和到modules/scorm/lib.inc.php的CONFIG[BASE_PATH]参数中的一个URL，执行任意的PHP代码。, Interact Learning Community Environment Interact 2.4.1版本存在多个PHP远程文件包含漏洞。当register_globals被激活时，远程攻击者可以借助到modules/forum/embedforum.php的CONFIG[LANGUAGE_CPATH]参数和到modules/scorm/lib.inc.php的CONFIG[BASE_PATH]参数中的一个URL，执行任意的PHP代码。
2009380suggest,建议web服务器把包含/embedforum.php，CONFIG[LANGUAGE_CPATH]/参数带有../的请求给过滤了。,建议web服务器把包含/embedforum.php，CONFIG[LANGUAGE_CPATH]/参数带有../的请求给过滤了。
2009381name,  Interact embedforum.php存在参数与远程文件捆绑,  Interact embedforum.php存在参数与远程文件捆绑
2009381harm_desc,"        Agares Media ThemeSiteScript 中的upload/admin/frontpage_right.php存在PHP远程文件包含漏洞。远程攻击者可以借助loadadminpage参数中的一个URL, 执行任意的PHP代码。","        Agares Media ThemeSiteScript 中的upload/admin/frontpage_right.php存在PHP远程文件包含漏洞。远程攻击者可以借助loadadminpage参数中的一个URL, 执行任意的PHP代码。"
2009381suggest,建议web服务器把包含/admin/frontpage_right.php，loadadminpage参数带有../的请求给过滤了。,建议web服务器把包含/admin/frontpage_right.php，loadadminpage参数带有../的请求给过滤了。
2009382name, Agares Media ThemeSiteScript frontpage_right.php存在参数与远程文件捆绑, Agares Media ThemeSiteScript frontpage_right.php存在参数与远程文件捆绑
2009382harm_desc,Joomla Dada Mail Manager 组件中存在目录遍历漏洞。远程攻击者可以借助对/config.dadamail.php的GLOBALS[mosConfig_absolute_path]参数中的一个..，读取任意文件。,Joomla Dada Mail Manager 组件中存在目录遍历漏洞。远程攻击者可以借助对/config.dadamail.php的GLOBALS[mosConfig_absolute_path]参数中的一个..，读取任意文件。
2009382suggest,建议web服务器把uri中包含/config.dadamail.php并带有GLOBALS[mosConfig_absolute_path]参数带有..的请求给过滤了。,建议web服务器把uri中包含/config.dadamail.php并带有GLOBALS[mosConfig_absolute_path]参数带有..的请求给过滤了。
2009383name, Joomla Dada Mail Manager部分 config.dadamail.php GLOBALS参数与本地文件捆绑, Joomla Dada Mail Manager部分 config.dadamail.php GLOBALS参数与本地文件捆绑
2009383harm_desc, Joomla! Dada Mail Manager (com_dadamail)组件的config.dadamail.php中存在PHP远程文件包含漏洞。远程攻击者可以借助GLOBALS[mosConfig_absolute_path]参数中的一个URL，执行任意PHP代码。, Joomla! Dada Mail Manager (com_dadamail)组件的config.dadamail.php中存在PHP远程文件包含漏洞。远程攻击者可以借助GLOBALS[mosConfig_absolute_path]参数中的一个URL，执行任意PHP代码。
2009383suggest,建议使用2.6之后版本,建议使用2.6之后版本
2009384name, Joomla Dada Mail Manager部分 config.dadamail.php GLOBALS参数远程文件捆绑, Joomla Dada Mail Manager部分 config.dadamail.php GLOBALS参数远程文件捆绑
2009384harm_desc,PHPizabi组件/chat/dac.php中存在目录遍历漏洞。远程攻击者可以借助一个sendChatData径参数中的一个..，读取任意文件。,PHPizabi组件/chat/dac.php中存在目录遍历漏洞。远程攻击者可以借助一个sendChatData径参数中的一个..，读取任意文件。
2009384suggest,建议web服务器把包含/chat/dac.php，sendChatData参数带有../的请求给过滤了。,建议web服务器把包含/chat/dac.php，sendChatData参数带有../的请求给过滤了。
2009386name, Interact lib.inc.php存在参数与远程文件捆绑, Interact lib.inc.php存在参数与远程文件捆绑
2009386harm_desc,Joomla Onguma Time Sheet组件中/com_ongumatimesheet20/lib/onguma.class.php存在PHP远程文件包含漏洞。远程攻击者可以借助mosConfig_absolute_path参数中的一个URL，执行任意的PHP代码。,Joomla Onguma Time Sheet组件中/com_ongumatimesheet20/lib/onguma.class.php存在PHP远程文件包含漏洞。远程攻击者可以借助mosConfig_absolute_path参数中的一个URL，执行任意的PHP代码。
2009386suggest,"建议web服务器把uri中包含/com_ongumatimesheet20/lib/onguma.class.php并带有mosConfig_absolute_path参数带有一个url 的请求给过滤了。
","建议web服务器把uri中包含/com_ongumatimesheet20/lib/onguma.class.php并带有mosConfig_absolute_path参数带有一个url 的请求给过滤了。
"
2009390name, PHPizabi dac.php sendChatData参数与本地文件捆绑, PHPizabi dac.php sendChatData参数与本地文件捆绑
2009390harm_desc," YouTube Blog是包含有有关YouTube新闻及社区内容的网络博客。 
        cuenta/cuerpo.php文件中没有正确地验证对base_archivo参数的输入便用于包含文件，允许远程攻击者包含本地或外部资源的任意文件。成功利用这个漏洞要求打开了register_globals。"," YouTube Blog是包含有有关YouTube新闻及社区内容的网络博客。 
        cuenta/cuerpo.php文件中没有正确地验证对base_archivo参数的输入便用于包含文件，允许远程攻击者包含本地或外部资源的任意文件。成功利用这个漏洞要求打开了register_globals。"
2009390suggest,建议web服务器把包含/cuenta/cuerpo.php，/cuenta/cuerpo.php参数带有../的请求给过滤了。,建议web服务器把包含/cuenta/cuerpo.php，/cuenta/cuerpo.php参数带有../的请求给过滤了。
2009391name, Joomla Onguma Time Sheet部分 onguma.class.php mosConfig_absolute_path参数存在远程文件捆绑, Joomla Onguma Time Sheet部分 onguma.class.php mosConfig_absolute_path参数存在远程文件捆绑
2009391harm_desc,"OTManager是一个内容管理系统程序。 
        OTManager 2.4版本中的Admin/ADM_Pagina.php存在PHP远程文件包含漏洞。远程攻击者可以借助Tipo参数中的一个URL，执行任意的PHP代码。","OTManager是一个内容管理系统程序。 
        OTManager 2.4版本中的Admin/ADM_Pagina.php存在PHP远程文件包含漏洞。远程攻击者可以借助Tipo参数中的一个URL，执行任意的PHP代码。"
2009391suggest,建议web服务器把包含/ADM_Pagina.php，Tipo参数带有../的请求给过滤了。,建议web服务器把包含/ADM_Pagina.php，Tipo参数带有../的请求给过滤了。
2009393name, YouTube Blog cuerpo.php base_archivo 与本地文件捆绑, YouTube Blog cuerpo.php base_archivo 与本地文件捆绑
2009393harm_desc,"OTManager是一个内容管理系统程序。 
        OTManager 2.4版本中的Admin/ADM_Pagina.php存在PHP远程文件包含漏洞。远程攻击者可以借助Tipo参数中的一个URL，执行任意的PHP代码。","OTManager是一个内容管理系统程序。 
        OTManager 2.4版本中的Admin/ADM_Pagina.php存在PHP远程文件包含漏洞。远程攻击者可以借助Tipo参数中的一个URL，执行任意的PHP代码。"
2009393suggest,建议web服务器把包含/ADM_Pagina.php，Tipo参数带有../的请求给过滤了。,建议web服务器把包含/ADM_Pagina.php，Tipo参数带有../的请求给过滤了。
2009395name, OTManager ADM_Pagina.php Tipo存在参数与远程文件捆绑, OTManager ADM_Pagina.php Tipo存在参数与远程文件捆绑
2009395harm_desc,phpProfiles 'include/body_comm.inc.php' 远程文件包含漏洞--phpProfiles的include/body_comm.inc.php存在PHP远程文件包含漏洞。远程攻击者可以借助content参数中的一个URL执行任意的PHP代码。,phpProfiles 'include/body_comm.inc.php' 远程文件包含漏洞--phpProfiles的include/body_comm.inc.php存在PHP远程文件包含漏洞。远程攻击者可以借助content参数中的一个URL执行任意的PHP代码。
2009395suggest,"建议在web服务器把访问/body_comm.inc.php且存在content 参数的请求给过滤了
","建议在web服务器把访问/body_comm.inc.php且存在content 参数的请求给过滤了
"
2009396name,  OTManager ADM_Pagina.php Tipo 与本地文件捆绑,  OTManager ADM_Pagina.php Tipo 与本地文件捆绑
2009396harm_desc, HoMaP-CMS 0.1版本中的html/admin/modules/plugin_admin.php存在PHP远程文件包含漏洞。远程攻击者可以借助_settings[pluginpath]参数中的一个URI，执行任意的PHP代码。, HoMaP-CMS 0.1版本中的html/admin/modules/plugin_admin.php存在PHP远程文件包含漏洞。远程攻击者可以借助_settings[pluginpath]参数中的一个URI，执行任意的PHP代码。
2009396suggest,建议web服务器把包含/plugin_admin.php，_settings[pluginpath]参数带有../的请求给过滤了。,建议web服务器把包含/plugin_admin.php，_settings[pluginpath]参数带有../的请求给过滤了。
2009397name, phpProfiles body_comm.inc.php content 存在参数与远程文件捆绑尝试, phpProfiles body_comm.inc.php content 存在参数与远程文件捆绑尝试
2009397harm_desc,PhpBlock A8.4的modules/basicfog/basicfogfactory.class.php中存在PHP远程文件包含漏洞。远程攻击者通过PATH_TO_CODE参数中的一个URL来执行任意ＰＨＰ代码,PhpBlock A8.4的modules/basicfog/basicfogfactory.class.php中存在PHP远程文件包含漏洞。远程攻击者通过PATH_TO_CODE参数中的一个URL来执行任意ＰＨＰ代码
2009397suggest,"建议在web服务器把访问/basicfogfactory.class.php且存在PATH_TO_CODE参数的请求给过滤了
","建议在web服务器把访问/basicfogfactory.class.php且存在PATH_TO_CODE参数的请求给过滤了
"
2009398name, HoMaP plugin_admin.php _settings 存在参数与远程文件捆绑尝试, HoMaP plugin_admin.php _settings 存在参数与远程文件捆绑尝试
2009398harm_desc,,
2009398suggest,"建议在web服务器把访问/startup.php且存在/startup.php 参数的请求给过滤了
","建议在web服务器把访问/startup.php且存在/startup.php 参数的请求给过滤了
"
2009415name, PhpBlock basicfogfactory.class.php PATH_TO_CODE 存在参数与远程文件捆绑尝试, PhpBlock basicfogfactory.class.php PATH_TO_CODE 存在参数与远程文件捆绑尝试
2009415harm_desc,"Blogplus 1.0版本存在多个目录遍历漏洞。远程攻击者可以借助到includes/block_center_down.php的(1)row_mysql_blocks_center_down[file]参数、到block_center_top.php的(2)row_mysql_blocks_center_top[file] includes/参数、到includes/block_left.php的(3)row_mysql_blocks_left[file]参数、到includes/block_right.php的(4)row_mysql_blocks_right[file]参数以及到(5)includes/window_down.php和 
        (6)includes/window_top.php的row_mysql_bloginfo[theme]参数(参数值设置为'..')，包含和运行任意的本地文件。","Blogplus 1.0版本存在多个目录遍历漏洞。远程攻击者可以借助到includes/block_center_down.php的(1)row_mysql_blocks_center_down[file]参数、到block_center_top.php的(2)row_mysql_blocks_center_top[file] includes/参数、到includes/block_left.php的(3)row_mysql_blocks_left[file]参数、到includes/block_right.php的(4)row_mysql_blocks_right[file]参数以及到(5)includes/window_down.php和 
        (6)includes/window_top.php的row_mysql_bloginfo[theme]参数(参数值设置为'..')，包含和运行任意的本地文件。"
2009415suggest,建议web服务器把包含/block_center_down.php，row_mysql_blocks_center_down[file]参数带有../的请求给过滤了。,建议web服务器把包含/block_center_down.php，row_mysql_blocks_center_down[file]参数带有../的请求给过滤了。
2009416name, txtSQL startup.php CFG 存在参数与远程文件捆绑尝试, txtSQL startup.php CFG 存在参数与远程文件捆绑尝试
2009416harm_desc,"Blogplus 1.0版本存在多个目录遍历漏洞。远程攻击者可以借助到includes/block_center_down.php的(1)row_mysql_blocks_center_down[file]参数、到block_center_top.php的(2)row_mysql_blocks_center_top[file] includes/参数、到includes/block_left.php的(3)row_mysql_blocks_left[file]参数、到includes/block_right.php的(4)row_mysql_blocks_right[file]参数以及到(5)includes/window_down.php和 
        (6)includes/window_top.php的row_mysql_bloginfo[theme]参数(参数值设置为'..')，包含和运行任意的本地文件","Blogplus 1.0版本存在多个目录遍历漏洞。远程攻击者可以借助到includes/block_center_down.php的(1)row_mysql_blocks_center_down[file]参数、到block_center_top.php的(2)row_mysql_blocks_center_top[file] includes/参数、到includes/block_left.php的(3)row_mysql_blocks_left[file]参数、到includes/block_right.php的(4)row_mysql_blocks_right[file]参数以及到(5)includes/window_down.php和 
        (6)includes/window_top.php的row_mysql_bloginfo[theme]参数(参数值设置为'..')，包含和运行任意的本地文件"
2009416suggest,建议web服务器把包含/block_center_top.php，row_mysql_blocks_center_top[file]参数带有../的请求给过滤了。,建议web服务器把包含/block_center_top.php，row_mysql_blocks_center_top[file]参数带有../的请求给过滤了。
2009417name, Blogplus block_center_down.php 与本地文件捆绑, Blogplus block_center_down.php 与本地文件捆绑
2009417harm_desc,"Blogplus 1.0版本存在多个目录遍历漏洞。远程攻击者可以借助到includes/block_center_down.php的(1)row_mysql_blocks_center_down[file]参数、到block_center_top.php的(2)row_mysql_blocks_center_top[file] includes/参数、到includes/block_left.php的(3)row_mysql_blocks_left[file]参数、到includes/block_right.php的(4)row_mysql_blocks_right[file]参数以及到(5)includes/window_down.php和 
        (6)includes/window_top.php的row_mysql_bloginfo[theme]参数(参数值设置为'..')，包含和运行任意的本地文件。","Blogplus 1.0版本存在多个目录遍历漏洞。远程攻击者可以借助到includes/block_center_down.php的(1)row_mysql_blocks_center_down[file]参数、到block_center_top.php的(2)row_mysql_blocks_center_top[file] includes/参数、到includes/block_left.php的(3)row_mysql_blocks_left[file]参数、到includes/block_right.php的(4)row_mysql_blocks_right[file]参数以及到(5)includes/window_down.php和 
        (6)includes/window_top.php的row_mysql_bloginfo[theme]参数(参数值设置为'..')，包含和运行任意的本地文件。"
2009417suggest,建议web服务器把包含/block_left.php，row_mysql_blocks_left[file]参数带有../的请求给过滤了。,建议web服务器把包含/block_left.php，row_mysql_blocks_left[file]参数带有../的请求给过滤了。
2009418name, Blogplus block_center_top.php 与本地文件捆绑, Blogplus block_center_top.php 与本地文件捆绑
