id,中文,en-US
2007023suggest,"建议web服务器把uri中包含/item_list.asp并带有secondgroup参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /item_list.asp and the secondgroup parameter in uri."
2007035name,"检测 Enthrallweb eClassifieds SQL注入攻击","Enthrallweb eClassifieds SQL Injection Attempt Detection"
2007035desc,"如果在请求行 查找到/dircat.asp并带有可SQL注入的参数cid则规则匹配，拦截并设置参数","If the /dircat.asp and a 'cid' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007035harm_desc,"       Enthrallweb eClassifieds存在多个SQL注入漏洞，远程攻击者可通过传给dircat.asp的cid参数来执行任意SQL命令。","Enthrallweb eClassifieds is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the cid parameter to dircat.asp."
2007035suggest,"建议web服务器把uri中包含/dircat.asp并带有cid参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /dircat.asp and the cid parameter in uri."
2007041name,"检测 Enthrallweb eClassifieds SQL注入攻击","Enthrallweb eClassifieds SQL Injection Attempt Detection"
2007041desc,"如果在请求行 查找到/dirSub.asp并带有可SQL注入的参数sid则规则匹配，拦截并设置参数","If the /dirSub.asp and a 'sid' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007041harm_desc,"       Enthrallweb eClassifieds存在多个SQL注入漏洞，远程攻击者可通过传给dirSub.asp的sid参数，来执行任意SQL命令。","Enthrallweb eClassifieds is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the sid parameter to dirSub.asp."
2007041suggest,"建议web服务器把uri中包含/dirSub.asp并带有sid参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /dirSub.asp and the sid parameter in uri."
2007047name,"检测 Enthrallweb eClassifieds SQL注入攻击","Enthrallweb eClassifieds SQL Injection Attempt Detection"
2007047desc,"如果在请求行 查找到 /ad.asp并带有可SQL注入的参数AD_ID则规则匹配，拦截并设置参数","If the /ad.asp and a 'AD_ID' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007047harm_desc,"    Enthrallweb eClassifieds存在多个SQL注入漏洞，远程攻击者可通过传给(a)ad.asp的AD_ID参数，来执行任意SQL命令。","Enthrallweb eClassifieds is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the AD_ID parameter to (a)ad.asp."
2007047suggest,"建议web服务器把uri中包含/ad.asp并带有AD_ID参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /ad.asp and the AD_ID parameter in uri."
2007049name,"检测 Enthrallweb eClassifieds SQL注入攻击","Enthrallweb eClassifieds SQL Injection Attempt Detection"
2007049desc,"如果在请求行 查找到/ad.asp并带有可SQL注入的参数sub_id则规则匹配，拦截并设置参数","If the /ad.asp and a 'sub_id' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007049harm_desc,"    Enthrallweb eClassifieds存在多个SQL注入漏洞，远程攻击者可通过传给ad.asp的sub_id参数，来执行任意SQL命令。","Enthrallweb eClassifieds is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the sub_id parameter to ad.asp."
2007049suggest,"建议web服务器把uri中包含 /ad.asp并带有sub_id参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /ad.asp and the sub_id parameter in uri."
2007053name,"检测 Enthrallweb eClassifieds SQL注入攻击","Enthrallweb eClassifieds SQL Injection Attempt Detection"
2007053desc,"如果在请求行 查找到 /ad.asp并带有可SQL注入的参数cat_id则规则匹配，拦截并设置参数","If the /ad.asp and a 'cat_id' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007053harm_desc,"    Enthrallweb eClassifieds存在多个SQL注入漏洞，远程攻击者可通过传给ad.asp的cat_id参数，来执行任意SQL命令。","Enthrallweb eClassifieds is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the cat_id parameter to ad.asp."
2007053suggest,"建议web服务器把uri中包含/ad.asp并带有cat_id参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /ad.asp and the cat_id parameter in uri."
2007065name,"检测 Evolve shopping cart SQL注入攻击","Evolve shopping cart SQL Injection Attempt Detection"
2007065desc,"如果在请求行 查找到/products.asp并带有可SQL注入的参数partno则规则匹配，拦截并设置参数","If the /products.asp and a 'partno' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007065harm_desc,"    ** 争议 ** Evolve shopping cart(又称Evolve Merchant)中的products.asp存在SQL注入漏洞，远程攻击者可以通过partno参数来执行任意SQL命令。注: 厂商对此问题有争议，称这是一个强迫的SQL错误。","The products.asp in Evolve shopping cart(aka Evolve Merchant) is prone to SQL injection vulnerability.  Remote attackers can exploit this issue to execute arbitrary SQL commands via the partno parameter. NOTE: The vendor is disputed on this issue, saying it is a forced SQL error."
2007065suggest,"建议web服务器把uri中包含/products.asp并带有partno参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /products.asp and the partno parameter in uri."
2007075name,"检测  WarHound General Shopping Cart SQL注入攻击","WarHound General Shopping Cart SQL Injection Attempt Detection"
2007075desc,"如果在请求行 查找到/item.asp并带有可SQL注入的参数ItemID则规则匹配，拦截并设置参数","If the /item.asp and a 'ItemID' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007075harm_desc,"  WarHound General Shopping Cart的item.asp中存在SQL注入漏洞，远程攻击者可以通过ItemID参数执行任意SQL命令","The item.asp in WarHound General Shopping Cart is prone to SQL injection vulnerability. Remote attackers can exploit this issue to execute arbitrary SQL commands via the ItemID parameter."
2007075suggest,"建议web服务器把uri中包含strid并带有ItemID参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain strid and the ItemID parameter in uri."
2007081name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007081desc,"如果在请求行 查找到/dircat.asp并带有可SQL注入的参数cid则规则匹配，拦截并设置参数","If the /dircat.asp and a 'cid' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007081harm_desc,"       Enthrallweb eClassifieds存在多个SQL注入漏洞，远程攻击者可通过传给dircat.asp的cid参数来执行任意SQL命令。","Enthrallweb eClassifieds is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the cid parameter to dircat.asp."
2007081suggest,"建议web服务器把uri中包含/dircat.asp并带有cid参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /dircat.asp and the cid parameter in uri."
2007087name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007087desc,"如果在请求行 查找到/dirSub.asp并带有可SQL注入的参数sid则规则匹配，拦截并设置参数","If the /dirSub.asp and a 'sid' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007087harm_desc,"       Enthrallweb eClassifieds存在多个SQL注入漏洞，远程攻击者可通过传给dirSub.asp的sid参数，来执行任意SQL命令。","Enthrallweb eClassifieds is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the sid parameter to dirSub.asp."
2007087suggest,"建议web服务器把uri中包含/dirSub.asp并带有sid参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /dirSub.asp and the sid parameter in uri."
2007093name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007093desc,"如果在请求行 查找到/types.asp并带有可SQL注入的参数TYPE_ID则规则匹配，拦截并设置参数","If the /types.asp and a 'TYPE_ID' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007093harm_desc," Enthrallweb eHomes存在多个SQL注入漏洞，远程攻击者可以通过传给types.asp的TYPE_ID参数；来执行任意SQL命令。","Enthrallweb eHomes is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the TYPE_ID parameter to types.asp."
2007093suggest,"建议web服务器把uri中包含/types.asp并带有TYPE_ID参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /types.asp and the TYPE_ID parameter in uri."
2007099name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007099desc,"如果在请求行 查找到/homeDetail.asp并带有可SQL注入的参数AD_ID则规则匹配，拦截并设置参数","If the /homeDetail.asp and a 'AD_ID' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007099harm_desc,,"Enthrallweb eHomes has multiple SQL injection vulnerabilities that remote attackers can execute on arbitrary SQL commands by passing the AD_ID parameter to homeDetail.asp."
2007099suggest,"建议web服务器把uri中包含/homeDetail.asp并带有AD_ID参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /homeDetail.asp and the AD_ID parameter in uri."
2007105name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007105desc,"如果在请求行 查找到/result.asp并带有可SQL注入的参数cat则规则匹配，拦截并设置参数","If the /result.asp and a 'cat' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007105harm_desc,,"Enthrallweb eHomes has multiple SQL injection vulnerabilities that remote attackers can execute on arbitrary SQL commands by passing the cat parameter to result.asp."
2007105suggest,"建议web服务器把uri中包含/result.asp并带有cat参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /result.asp and the cat parameter in uri."
2007111name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007111desc,"如果在请求行 查找到/compareHomes.asp并带有可SQL注入的参数compare则规则匹配，拦截并设置参数","If the /compareHomes.asp and a 'compare' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007111harm_desc,,"Enthrallweb eHomes has multiple SQL injection vulnerabilities that remote attackers can execute on arbitrary SQL commands via a compare to a compareHomes.asp."
2007111suggest,"建议web服务器把uri中包含/compareHomes.asp并带有compare参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /compareHomes.asp and the compare parameter in uri."
2007117name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007117desc,"如果在请求行 查找到/compareHomes.asp并带有可SQL注入的参数clear则规则匹配，拦截并设置参数","If the /compareHomes.asp and a 'clear' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007117harm_desc,,"Enthrallweb eHomes has multiple SQL injection vulnerabilities that remote attackers can execute on arbitrary SQL commands by passing clear to compareHomes.asp."
2007117suggest,"建议web服务器把uri中包含/compareHomes.asp并带有clear参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /compareHomes.asp and the clear parameter in uri."
2007123name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007123desc,"如果在请求行 查找到/compareHomes.asp并带有可SQL注入的参数adID则规则匹配，拦截并设置参数","If the /compareHomes.asp and a 'adID' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007123harm_desc,,"Enthrallweb eHomes has multiple SQL injection vulnerabilities that remote attackers can execute by executing arbitrary SQL commands by passing in the adID parameter of compareHomes.asp."
2007123suggest,"建议web服务器把uri中包含/compareHomes.asp并带有adID参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /compareHomes.asp and the adID parameter in uri."
2007129name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007129desc,"如果在请求行 查找到/result.asp并带有可SQL注入的参数aminprice则规则匹配，拦截并设置参数","If the /result.asp and a 'aminprice' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007129harm_desc,,"Enthrallweb eHomes has multiple SQL injection vulnerabilities. Remote attackers can execute arbitrary SQL commands through the aminprice parameter passed to result.asp."
2007129suggest,"建议web服务器把uri中包含/result.asp并带有aminprice参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /result.asp and the aminprice parameter in uri."
2007135name,"检测 Enthrallweb eHomes SQL注入攻击","Enthrallweb eHomes SQL Injection Attempt Detection"
2007135desc,"如果在请求行 查找到 /result.asp并带有可SQL注入的参数amaxprice则规则匹配，拦截并设置参数","If the /result.asp and a 'amaxprice' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007135harm_desc,,"Enthrallweb eHomes has multiple SQL injection vulnerabilities. Remote attackers can execute arbitrary SQL commands by passing the amaxprice parameter to result.asp."
2007135suggest,"建议web服务器把uri中包含/result.asp并带有amaxprice参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /result.asp and the amaxprice parameter in uri."
2007141name,"检测 Enthrallweb eHomes SQL注入 攻击尝试","Enthrallweb eHomes SQL Injection Attempt Detection"
2007141desc,"如果在请求行 查找到/result.asp并带有可SQL注入的参数abedrooms则规则匹配，拦截并设置参数","If the /result.asp and a 'abedrooms' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007141harm_desc,,"Enthrallweb eHomes has multiple SQL injection vulnerabilities that remote attackers can execute on arbitrary SQL commands by passing the abedrooms parameter to result.asp."
2007141suggest,"建议web服务器把uri中包含/result.asp并带有abedrooms参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /result.asp and the abedrooms parameter in uri."
2007181name,"检测 Francisco Burzi PHP-Nuke SQL注入攻击","Francisco Burzi PHP-Nuke SQL Injection Attempt Detection"
2007181desc,"如果在请求行 查找到/modules/News/index.php并带有可SQL注入的参数sid则规则匹配，拦截并设置参数","If the /modules/News/index.php and a 'sid' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007181harm_desc,"    Francisco Burzi PHP-Nuke中的News模块中的modules/News/index.php内的(1)rate_article和(2)rate_complete函数存在多个SQL注入漏洞，当系统禁用magic_quotes_gpc时，远程攻击者可通过sid参数来执行任意SQL命令。","The (1)rate_article and (2)rate_complete functions in modules/News/index.php in the News module in Francisco Burzi PHP-Nuke is prone to multiple SQL injection vulnerabilities. When system disables magic_quotes_gpc, remote attackers can exploit these issues to execute arbitrary SQL commands via the sid parameter."
2007181suggest,"建议web服务器把uri中包含modules/News/index.php并带有sid参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain modules/News/index.php and the sid parameter in uri."
2007187name,"检测 Fixit iDMS Pro Image Gallery SQL注入攻击","Fixit iDMS Pro Image Gallery SQL Injection Attempt Detection"
2007187desc,"如果在请求行 查找到/filelist.asp并带有可SQL注入的参数show_id则规则匹配，拦截并设置参数","If the /filelist.asp and a 'show_id' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007187harm_desc,"        Fixit iDMS Pro Image Gallery存在多个SQL注入漏洞，远程攻击者可通过传给filelist.asp的show_id参数，来执行任意SQL命令。","Fixit iDMS Pro Image Gallery is prone to multiple SQL injection vulnerabilities. When system disables magic_quotes_gpc, remote attackers can exploit these issues to execute arbitrary SQL commands via the show_id parameter to filelist.asp."
2007187suggest,"建议web服务器把uri中包含/filelist.asp并带有show_id参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain modules/filelist.asp and the show_id parameter in uri."
2007193name,"检测 Fixit iDMS Pro Image Gallery SQL注入攻击","Fixit iDMS Pro Image Gallery SQL Injection Attempt Detection"
2007193desc,"如果在请求行 查找到/filelist.asp并带有可SQL注入的参数parentid则规则匹配，拦截并设置参数","If the /filelist.asp and a 'parentid' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007193harm_desc,"        Fixit iDMS Pro Image Gallery存在多个SQL注入漏洞，远程攻击者可通过传给filelist.asp的parentid参数，来执行任意SQL命令。","Fixit iDMS Pro Image Gallery is prone to multiple SQL injection vulnerabilities. When system disables magic_quotes_gpc, remote attackers can exploit these issues to execute arbitrary SQL commands via the parentid parameter to filelist.asp."
2007193suggest,"建议web服务器把uri中包含/filelist.asp并带有parentid参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /filelist.asp and the parentid parameter in uri."
2007199name,"检测 Fixit iDMS Pro Image Gallery SQL注入攻击","Fixit iDMS Pro Image Gallery SQL Injection Attempt Detection"
2007199desc,"如果在请求行 查找到/showfile.asp并带有可SQL注入的参数fid则规则匹配，拦截并设置参数","If the /showfile.asp and a 'fid' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007199harm_desc,"        Fixit iDMS Pro Image Gallery存在多个SQL注入漏洞，远程攻击者可通过传给showfile.asp的fid参数来执行任意SQL命令。","Fixit iDMS Pro Image Gallery is prone to multiple SQL injection vulnerabilities. When system disables magic_quotes_gpc, remote attackers can exploit these issues to execute arbitrary SQL commands via the fid parameter to showfile.asp."
2007199suggest,"建议web服务器把uri中包含/showfile.asp并带有fid参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /showfile.asp and the fid parameter in uri."
2007204name,"检测 Ultimate Survey Pro SQL注入攻击","Ultimate Survey Pro SQL Injection Attempt Detection"
2007204desc,"如果在请求行 查找到/index.asp并带有可SQL注入的参数cat则规则匹配，拦截并设置参数","If the /index.asp and a 'cat' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007204harm_desc,"     Ultimate Survey Pro的index.asp中存在多个SQL注入漏洞，远程攻击者通过(1)cat或(2)did参数执行任意SQL命令。","The index.asp in Ultimate Survey Pro is prone to multiple SQL injection vulnerabilities. When system disables magic_quotes_gpc, remote attackers can exploit these issues to execute arbitrary SQL commands via the (1)cat or (2)did parameter."
2007204suggest,"建议web服务器把uri中包含index.php并带有did参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain index.php and the did parameter in uri."
2007210name,"检测 Ultimate Survey Pro SQL注入攻击","Ultimate Survey Pro SQL Injection Attempt Detection"
2007210desc,"如果在请求行 查找到/index.asps并带有可SQL注入的参数did则规则匹配，拦截并设置参数","If the /index.asps and a 'did' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007210harm_desc,"     Ultimate Survey Pro的index.asp中存在多个SQL注入漏洞，远程攻击者通过(1)cat或(2)did参数执行任意SQL命令。","The index.asp in Ultimate Survey Pro is prone to multiple SQL injection vulnerabilities. When system disables magic_quotes_gpc, remote attackers can exploit these issues to execute arbitrary SQL commands via the (1)cat or (2)did parameter."
2007210suggest,"建议web服务器把uri中包含index.php并带有did参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain index.php and the did parameter in uri."
2007216name,"检测 BasicForum SQL注入攻击","BasicForum SQL Injection Attempt Detection"
2007216desc,"如果在请求行 查找到 /edit.asp并带有可SQL注入的参数id则规则匹配，拦截并设置参数","If the /edit.asp and a 'id' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007216harm_desc,"BasicForum 中的edit.asp存在SQL注入漏洞。远程攻击者可以借助于id参数执行任意SQL命令。","The edit.asp in BasicForum is prone to SQL injection vulnerability. Remote attackers can exploit this issue to execute arbitrary SQL commands via the id parameter."
2007216suggest,"建议web服务器把uri中包含/edit.asp并带有id参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /edit.asp and the id parameter in uri."
2007222name,"检测 8pixel.net simpleblog SQL注入攻击","8pixel.net simpleblog SQL Injection Attempt Detection"
2007222desc,"如果在请求行 查找到/admin/edit.asp并带有可SQL注入的参数id则规则匹配，拦截并设置参数","If the /admin/edit.asp and a 'id' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007222harm_desc,,"8pixel.net Simpleblog admin / edit.asp SQL injection vulnerability exist, remote attackers can execute arbitrary SQL commands through the id parameter."
2007222suggest,"建议web服务器把uri中包含/admin/edit.asp并带有id参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /admin/edit.asp and the id parameter in uri."
2007228name,"检测 ClickTech Click Blog SQL注入攻击","ClickTech Click Blog SQL Injection Attempt Detection"
2007228desc,"如果在请求行 查找到/displayCalendar.asp并带有可SQL注入的参数date则规则匹配，拦截并设置参数","If the /displayCalendar.asp and a 'date' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007228harm_desc," ClickTech Click Blog的displayCalendar.asp中存在SQL注入漏洞，远程攻击者可以通过date参数执行任意SQL命令。","The displayCalendar.asp in ClickTech Click Blog is prone to SQL injection vulnerability. Remote attackers can exploit this issue to execute arbitrary SQL commands via the date parameter."
2007228suggest,"建议web服务器把uri中包含/displayCalendar.asp并带有date参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /displayCalendar.asp and the date parameter in uri."
2007234name,"检测 ClickTech Click Gallery SQL注入攻击","ClickTech Click Gallery SQL Injection Attempt Detection"
2007234desc,"如果在请求行 查找到/view_gallery.asp并带有可SQL注入的参数currentpage则规则匹配，拦截并设置参数","If the /view_gallery.asp and a 'currentpage' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007234harm_desc,,"ClickTech Click Gallery has multiple SQL injection vulnerabilities that remote attackers can execute arbitrary SQL commands by passing the currentpage to view_gallery.asp."
2007234suggest,"建议web服务器把uri中包含/view_gallery.asp并带有currentpage参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /view_gallery.asp and the currentpage parameter in uri."
2007240name,"检测 ClickTech Click Gallery SQL注入攻击","ClickTech Click Gallery SQL Injection Attempt Detection"
2007240desc,"如果在请求行 查找到/view_gallery.asp并带有可SQL注入的参数gallery_id则规则匹配，拦截并设置参数","If the /view_gallery.asp and a 'gallery_id' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007240harm_desc,,"ClickTech Click Gallery has multiple SQL injection vulnerabilities that remote attackers can execute by executing arbitrary SQL commands by passing the gallery_id parameter to (a) view_gallery.asp."
2007240suggest,"建议web服务器把uri中包含/view_gallery.asp并带有gallery_id参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /view_gallery.asp and the gallery_id parameter in uri."
2007246name,"检测 ClickTech Click Gallery SQL注入攻击","ClickTech Click Gallery SQL Injection Attempt Detection"
2007246desc,"如果在请求行 查找到/download_image.asp并带有可SQL注入的参数image_id则规则匹配，拦截并设置参数","If the /download_image.asp and a 'image_id' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007246harm_desc,,"ClickTech Click Gallery has multiple SQL injection vulnerabilities that remote attackers can execute by executing arbitrary SQL commands by passing the image_id parameter to download_image.asp."
2007246suggest,"建议web服务器把uri中包含 /download_image.asp并带有image_id参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /download_image.asp and the image_id parameter in uri."
2007252name,"检测 ClickTech Click Gallery SQL注入攻击","ClickTech Click Gallery SQL Injection Attempt Detection"
2007252desc,"如果在请求行 查找到/gallery.asp并带有可SQL注入的参数currentpage则规则匹配，拦截并设置参数","If the /gallery.asp and a 'currentpage' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007252harm_desc,,"ClickTech Click Gallery has multiple SQL injection vulnerabilities that remote attackers can execute by executing arbitrary SQL commands by passing in the orderby parameter to gallery.asp."
2007252suggest,"建议web服务器把uri中包含/gallery.asp并带有currentpage参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /gallery.asp and the currentpage parameter in uri."
2007258name,"检测 ClickTech Click Gallery SQL注入攻击","ClickTech Click Gallery SQL Injection Attempt Detection"
2007258desc,"如果在请求行 查找到/gallery.asp并带有可SQL注入的参数orderby则规则匹配，拦截并设置参数","If the /gallery.asp and a 'orderby' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007258harm_desc,,"ClickTech Click Gallery has multiple SQL injection vulnerabilities that remote attackers can pass to the (3) image_id parameter for (b) download_image.asp by passing the (1) currentpage or (2) gallery_id parameter to (a) view_gallery.asp, (C) the currentpage or (5) orderby parameter to gallery.asp, or the currentpage parameter passed to (d) view_recent.asp to execute any SQL command."
2007258suggest,"建议web服务器把uri中包含/gallery.asp并带有orderby参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /gallery.asp and the orderby parameter in uri."
2007264name,"检测 ClickTech Click Gallery SQL注入攻击","ClickTech Click Gallery SQL Injection Attempt Detection"
2007264desc,"如果在请求行 查找到/view_recent.asp并带有可SQL注入的参数currentpage则规则匹配，拦截并设置参数","If the /view_recent.asp and a 'currentpage' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007264harm_desc,,"ClickTech Click Gallery has multiple SQL injection vulnerabilities that remote attackers can execute on arbitrary SQL commands by passing the currentpage parameter to view_recent.asp."
2007264suggest,"建议web服务器把uri中包含view_recent.asp并带有currentpage参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain view_recent.asp and the currentpage parameter in uri."
2007270name,"检测 ClickTech ClickContact SQL注入攻击","ClickTech ClickContact SQL Injection Attempt Detection"
2007270desc,"如果在请求行 查找到/default.as并带有可SQL注入的参数AlphaSort则规则匹配，拦截并设置参数","If the /default.as and a 'AlphaSort' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007270harm_desc,"    ClickTech ClickContact中的default.asp存在多个SQL注入漏洞，远程攻击者可通过AlphaSort执行任意SQL命令。","The default.asp in ClickTech ClickContact is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via AlphaSort."
2007270suggest,"建议web服务器把uri中包含/default.asp并带有AlphaSort参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /default.asp and the AlphaSort parameter in uri."
2007276name,"检测 ClickTech ClickContact SQL注入攻击","ClickTech ClickContact SQL Injection Attempt Detection"
2007276desc,"如果在请求行 查找到/default.asp并带有可SQL注入的参数In则规则匹配，拦截并设置参数","If the /default.asp and a 'In' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007276harm_desc,"    ClickTech ClickContact中的default.asp存在多个SQL注入漏洞，远程攻击者可通过In参数来执行任意SQL命令。","The default.asp in ClickTech ClickContact is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the In parameter."
2007276suggest,"建议web服务器把uri中包含/default.asp并带有In参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /default.asp and the In parameter in uri."
2007282name,"检测 ClickTech ClickContact SQL注入攻击","ClickTech ClickContact SQL Injection Attempt Detection"
2007282desc,"如果在请求行 查找到/default.asp并带有可SQL注入的参数orderby则规则匹配，拦截并设置参数","If the /default.asp and a 'orderby' parameter being vulnerable to SQL attack are found in the request line, it means rules mathcing. Block the request and set relevant parameters."
2007282harm_desc,"    ClickTech ClickContact中的default.asp存在多个SQL注入漏洞，远程攻击者可通过orderby参数来执行任意SQL命令。","The default.asp in ClickTech ClickContact is prone to multiple SQL injection vulnerabilities. Remote attackers can exploit these issues to execute arbitrary SQL commands via the orderby parameter."
2007282suggest,"建议web服务器把uri中包含/default.asp并带有orderby参数的请求给过滤了。
","It is recommended that web server should filter the requests that contain /default.asp and the orderby parameter in uri."
2007293name,"检测 Neocrome Seditio SQL注入攻击","Neocrome Seditio SQL Injection Attempt Detection"
