id,中文,en-US
1595,第一次登入必须修改密码,"Change password on first login"
1596,密码最长使用天数,"Maximum password age"
1597,密码最小长度(字符),"Minimum password length(character)"
1598,预设策略,"Preset policy"
1599,selfStudyResult,selfStudyResult
1600,URI最大长度,"Maximum URI length"
1601,URI参数名称最大长度,"Maximum URI parameter name length"
1602,sshSwitchConfig,sshSwitchConfig
1603,"<span class=""red"">*</span>代理IP及端口:(权重值范围1-10，值越大，权重越大)","<span class=""red"">*</span>Proxy IP and port: weight value ranges from 1 to 10, the bigger the value, the greater the weight"
1604,部署方式,"Deployment mode"
1605,回退,Backspace
1606,初始化升级数据失败,"Failed to initialize upgraded data"
1607,升级状态错误,"Upgrading status error"
1608,密码错误,"Password error"
1609,"用户并未执行系统升级,不能进行还原操作","Restoration is not allowed as user doesn't upgrade system"
1610,无版本升级记录,"No version upgrade record available"
1611,还原文件错误,"Restoring file error"
1612,回退成功,Backspaced
1613,异常终止,"Abnormal termination"
1614,升级正在进行,Upgrading
1615,设备依赖性检查失败,"Failed to check device dependency"
1616,升级dpdk失败,"Failed to upgrade dpdk"
1617,"升级dpdk warper失败","Failed to upgrade dpdk warper"
1618,升级策略自动演进失败,"Failed to upgrade automatic policy evolution"
1619,升级IPS失败,"Failed to upgrade IPS"
1620,升级web应用防护失败,"Failed to upgrade web application protection"
1621,升级防扫描、反拍照失败,"Failed to upgrade anti-scanning and anti-photoing"
1622,升级用户认证失败,"Failed to upgrade user authentication"
1623,升级PHP失败,"Failed to upgrade PHP"
1624,升级python失败,"Failed to upgrade python"
1625,升级数据库失败,"Failed to upgrade database"
1626,dpdk缺失,"Dpdk missing"
1627,"dpdk warper升级包缺失","Dpdk warper upgrading package missing"
1628,防扫描升级包缺失,"Anti-scanning upgrading package missing"
1629,python升级包缺失,"Python upgrading package missing"
1630,python配置文件缺失,"Python configuration file missing"
1631,"安装python pyinotify模块失败","Failed to install python pyinotify module"
1632,"安装python ipy模块失败","Failed to install python ipy module"
1633,"安装python jinja模块失败","Failed to install python jinja module"
1634,"安装python markupsafe模块失败","Failed to install python markupsafe module"
1635,"安装python mysqlpython模块失败","Failed to install python mysqlpython module"
1636,"安装python netaddr模块失败","Failed to install python netaddr module"
1637,"安装python psutil模块失败","Failed to install python psutil module"
1638,找不到升级包,"Failed to locate upgrading package"
1639,升级包md5校验失败,"Failed to verify upgrading package md5"
1640,升级包解密失败,"Failed to decode upgrading package"
1641,无法解压升级包,"Unable to decompress upgrading package"
1642,升级密码,"Upgrade password"
1643,系统还原,"System restore"
1644,还原密码,"Restore password"
1645,还原至升级前的系统,"Restore to previous version"
1646,升级记录,"Upgrading record"
1647,"升级之前确保已经备份数据,升级过程中将不允许做任何操作","Please ensure data has been backed up before upgrade during which no operation is allowed"
1648,是否确定进行系统还原操作,"Do you want to restore system?"
1649,还原失败,"Restoration failed"
1650,"系统升级中,请勿进行任何操作","The system is upgrading, please wait until it is finished"
1651,"升级即将完成,系统即将重启","Upgrade is about to finish, the system will restart soon"
1652,"升级失败,即将退出系统","Upgrade failed, you will log out soon"
1653,"系统恢复中,请勿进行任何操作","The system is restoring, please wait until it is finished"
1654,"恢复即将完成,系统即将重启","Restoration is about to finish, the system will restart soon"
1655,"还原失败,即将退出系统","Restoration failed, you will log out soon"
1656,没有上一版本系统还原数据,"No restoration record of previous version available"
1657,登录密码安全策略,"Login password security policy"
1658,数据为空,"No data"
1659,旧密码错误,"Old password error"
1660,"""0""天表示不限制","""0"" day means unlimited"
